suite,run,population,screen_prompts,n,best_screen_exact,base_screen_exact,delta_vs_base,best_candidate
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,153,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,154,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,155,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,156,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,157,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,158,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,159,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,160,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,161,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,162,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,163,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,164,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,165,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,166,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,167,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,168,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,169,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,170,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,171,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,172,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,173,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,174,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,175,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,176,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,177,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
