actual_sha256,adapter,candidate,check,expected_sha256,module,note,pass,tensor,trusted
ad8d11d24feb39dea1bd65a4fe159afdf0b6f26c27285630ec0e76cf72aae027,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,b312ada8aa73f2c11f09d36a5e1068424d3819f177dcbe94f4e5665a87a28173,model.layers.1.self_attn.q_proj,,False,lora_A,
4cdaaa9910ad32b9802c6406c8e387d2473bbd73ea00b7125f95e73e98c0d9b8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,033ec584a8c681153eb3eb26eec0cd507c7fbf4e6e9f952f8bd5ea7db02a479c,model.layers.1.self_attn.q_proj,,False,lora_B,
64a4141d2ef2b3f7167fa49be66b0bf2425a7b4d81523ba25960e2e666a372fe,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,5ec882b3b9d95bf43c6d0ec97e58bcd72cf251843190df579fe9b2f446a2611b,model.layers.1.self_attn.v_proj,,False,lora_A,
8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,model.layers.1.self_attn.v_proj,,True,lora_B,
8c3d2c8acf9e4cef694f60dd47b3a305f0b7d51700197761d5bf89086523d652,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,2201e21e9d7bcee0ae222ba225e0c2818542d4946d30d44fb6a4582a8fdd8727,model.layers.2.self_attn.q_proj,,False,lora_A,
d1c17b31a6ff1267e443a6c7c9da65f78306b7e2cd3567b699ae2a7024cd48f8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,d573b531828580ffb8a58c72d1906011fad997c6ad71a9fccb861c83d540a216,model.layers.2.self_attn.q_proj,,False,lora_B,
e7d201c1432411bf68100487ce590140340823e1c9573ffed73310462fc94683,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,63088edb484a9acefbe0d813ea848abb62404207bf12437558add4a224e6ab83,model.layers.2.self_attn.v_proj,,False,lora_A,
700c3ed184ac21f3719550f1daa198e224e0cb31faef119f72bd1e5f089220da,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,ffa1c3ab0aee892c6a205acc400fb19f134802868e6a45fcdf67d2bb412a284c,model.layers.2.self_attn.v_proj,,False,lora_B,
1a41f7553665aa853acf5ddb7a7618324cd13d3d0317ec19868b8574a25a7586,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,0b7c536b36229cd18d71c5b6c1e5e76851e24f28ff7344bc575ca8fd6837e001,model.layers.3.self_attn.q_proj,,False,lora_A,
773f839356ca46fae2a4c6a748cde1133d8d5ec9c93211376ba0e66ff96adefb,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,2810dbb8dcc8343f341608a495f6c92b1558e8270965d9cb6e8eb00d1f8d3feb,model.layers.3.self_attn.q_proj,,False,lora_B,
0f93d3d411d12152b5575145ab28a83a2dda1979085a74976c86fbf746ff724e,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,2b86d4d3cf2135d8a9e40656b0705c658e8d0d6e14b88e4204d97895b997855b,model.layers.3.self_attn.v_proj,,False,lora_A,
0cb4c33edd12b763da4a7995e8dbeb71b48611cad61337b74494b0d67061bea2,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,0cb4c33edd12b763da4a7995e8dbeb71b48611cad61337b74494b0d67061bea2,model.layers.3.self_attn.v_proj,,True,lora_B,
37b7c8880bdac477f5ae82865607d7b19daca90cb9ca43ba90e06225e2dbf16d,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,d419ce7f34bf66d47e8d047aeaf6b23420d5a763a71b815754c77ff4a0fc03cb,model.layers.4.self_attn.q_proj,,False,lora_A,
0cef9d2c9666cdd6f50e60d2f48f3fff25149c8b08182eb3869352028f0230eb,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,482b858640ee9e911ce2c2ee7aeb4330375c665777fa4e8516b8fedb0072f74c,model.layers.4.self_attn.q_proj,,False,lora_B,
a819c52554f9cd3e793dcafd49312cfe4d1a231ed05b076b490eabcaca4b7537,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,50c1b66da8fcc02320b0aa6009292604c7ed4c23e13bdaf684bff24949e9f3a2,model.layers.4.self_attn.v_proj,,False,lora_A,
d4a302c88557397e508c35f981f225b8f8421960d893079aacffb1448ed8a3a0,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,d4a302c88557397e508c35f981f225b8f8421960d893079aacffb1448ed8a3a0,model.layers.4.self_attn.v_proj,,True,lora_B,
7b141c7d54a5ca371ffa558786eb93614ec03597b8402357630e178a33ec50d6,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,26c45003be29773bee19950db72b4c749a7ec905fdbf5b4fedfe36aa41976ba2,model.layers.5.self_attn.q_proj,,False,lora_A,
